"","x"
"1",9
"2",7.87
"3",9.04
"4",7.38
"5",6.69
"6",5.73
"7",5.93
"8",6.76
"9",6.1
"10",6.75
"11",7.44
"12",8.03
"13",9.22
"14",7.63
"15",8.01
"16",7.28
"17",9.14
"18",7.96
"19",7.94
"20",9.41
"21",7.62
"22",5.54
"23",5.81
"24",8.05
"25",9.49
"26",9.45
"27",10.14
"28",9.62
"29",9.29
"30",7.67
"31",8.24
"32",8.02
"33",8.01
"34",9.1
"35",7.37
"36",7.16
"37",9.22
"38",8.96
"39",9.07
"40",9.57
"41",7.94
"42",7.12
"43",6.77
"44",7.78
"45",6.54
"46",6.35
"47",6.9
"48",7.87
"49",8.49
"50",7.8
"51",10.17
"52",9.93
"53",9.52
"54",9.75
"55",7.83
"56",7.74
"57",9.42
"58",9.58
"59",10.72
"60",11.36
"61",9.01
"62",9.84
"63",9.93
"64",9.57
"65",9.7
"66",9.56
"67",9.5
"68",10.27
"69",10.79
"70",9.66
"71",9.06
"72",9.63
"73",10.05
"74",10.06
"75",7.8
"76",7.58
"77",8.76
"78",10.25
"79",10.84
"80",11.01
"81",11.77
"82",10.6
"83",8.85
"84",6.48
"85",6.65
"86",5.7
"87",6.78
"88",9.45
"89",9.62
"90",9.84
"91",8.66
"92",8.9
"93",10.05
"94",9.01
"95",8.8
"96",9.82
"97",7.62
"98",5
"99",7.63
"100",9.47
"101",9.21
"102",8.07
"103",7.14
"104",7.13
"105",7.46
"106",8.96
"107",8.49
"108",9.44
"109",10.17
"110",8.67
"111",9.09
"112",10
"113",10.41
"114",12.49
"115",11.45
"116",11.13
"117",9.24
"118",9.49
"119",9.42
"120",9.8
"121",8.64
"122",8.15
"123",9.07
"124",9.95
"125",10.43
"126",8.26
"127",9.91
"128",10
"129",8.78
"130",8.21
"131",8.8
"132",8.24
"133",9.22
"134",7.77
"135",7.87
"136",9.16
"137",10.05
"138",10.72
"139",8.54
"140",7.58
"141",7.06
"142",7.23
"143",7.61
"144",9.36
"145",9.65
"146",8.17
"147",10.81
"148",9.85
"149",10.27
"150",9.61
"151",8.29
"152",8.55
"153",9.89
"154",9.73
"155",8.65
"156",8.63
"157",8.83
"158",8.01
"159",9.76
"160",9.9
"161",8.87
"162",8.76
"163",8.99
"164",11.59
"165",11.24
"166",10.35
"167",10.37
"168",8.03
"169",7.95
"170",7.08
"171",7.95
"172",9.3
"173",8.09
"174",7.66
"175",10.03
"176",9.83
"177",7.76
"178",7.91
"179",9.3
"180",9.25
"181",9.38
"182",9.43
"183",8.16
"184",8.84
"185",9.98
"186",8.23
"187",8.41
"188",9.04
"189",10.39
"190",10.48
"191",8.56
"192",8.81
"193",7.97
"194",10.03
"195",8.85
"196",9.02
"197",8.25
"198",9.06
"199",9.8
"200",9.74
"201",9.72
"202",10.58
"203",8.34
"204",9.4
"205",9.87
"206",8.76
"207",7.4
"208",8.77
"209",8.62
"210",7.28
"211",6.96
"212",9.04
"213",9.5
"214",9.39
"215",7.7
"216",9.78
"217",9
"218",9.64
"219",8.98
"220",7.63
"221",8.55
"222",8.83
"223",8.73
"224",8.99
"225",9.08
"226",9.9
"227",9.66
"228",9.49
"229",7.8
"230",8.12
"231",7.72
"232",7.87
"233",7.44
"234",10.53
"235",12.48
"236",10.97
"237",9.36
"238",10
"239",10.59
"240",12.54
"241",11.21
"242",8.95
"243",7.82
"244",6.77
"245",9.33
"246",7.32
"247",7.97
"248",8.96
"249",10.93
"250",7.85
